Borough,Date,Rent,Year
Bronx,2010-01,1425.0,2010
Brooklyn,2010-01,1875.36,2010
Manhattan,2010-01,2700.26,2010
New York City,2010-01,2500.0,2010
Queens,2010-01,1453.7,2010
Staten Island,2010-01,,2010
Bronx,2010-02,1450.0,2010
Brooklyn,2010-02,1827.04,2010
Manhattan,2010-02,2624.91,2010
New York City,2010-02,2500.0,2010
Queens,2010-02,1512.0,2010
Staten Island,2010-02,,2010
Bronx,2010-03,1450.0,2010
Brooklyn,2010-03,1837.3,2010
Manhattan,2010-03,2597.3,2010
New York City,2010-03,2500.0,2010
Queens,2010-03,1552.0,2010
Staten Island,2010-03,,2010
Bronx,2010-04,1412.5,2010
Brooklyn,2010-04,1882.74,2010
Manhattan,2010-04,2670.73,2010
New York City,2010-04,2595.0,2010
Queens,2010-04,1538.33,2010
Staten Island,2010-04,,2010
Bronx,2010-05,1437.5,2010
Brooklyn,2010-05,1940.7,2010
Manhattan,2010-05,2648.12,2010
New York City,2010-05,2600.0,2010
Queens,2010-05,1498.2,2010
Staten Island,2010-05,,2010
Bronx,2010-06,1400.0,2010
Brooklyn,2010-06,1931.27,2010
Manhattan,2010-06,2689.79,2010
New York City,2010-06,2600.0,2010
Queens,2010-06,1567.22,2010
Staten Island,2010-06,,2010
Bronx,2010-07,1325.0,2010
Brooklyn,2010-07,1971.78,2010
Manhattan,2010-07,2699.06,2010
New York City,2010-07,2669.0,2010
Queens,2010-07,1554.22,2010
Staten Island,2010-07,,2010
Bronx,2010-08,1175.0,2010
Brooklyn,2010-08,1994.43,2010
Manhattan,2010-08,2731.94,2010
New York City,2010-08,2695.0,2010
Queens,2010-08,1558.78,2010
Staten Island,2010-08,,2010
Bronx,2010-09,1250.0,2010
Brooklyn,2010-09,2033.0,2010
Manhattan,2010-09,2845.15,2010
New York City,2010-09,2722.0,2010
Queens,2010-09,1592.22,2010
Staten Island,2010-09,,2010
Bronx,2010-10,1375.0,2010
Brooklyn,2010-10,2031.73,2010
Manhattan,2010-10,2860.18,2010
New York City,2010-10,2700.0,2010
Queens,2010-10,1595.7,2010
Staten Island,2010-10,,2010
Bronx,2010-11,1412.5,2010
Brooklyn,2010-11,1991.33,2010
Manhattan,2010-11,2810.94,2010
New York City,2010-11,2695.0,2010
Queens,2010-11,1593.5,2010
Staten Island,2010-11,,2010
Bronx,2010-12,1400.0,2010
Brooklyn,2010-12,2000.7,2010
Manhattan,2010-12,2795.5,2010
New York City,2010-12,2695.0,2010
Queens,2010-12,1503.1,2010
Staten Island,2010-12,,2010
Bronx,2011-01,1462.5,2011
Brooklyn,2011-01,1913.59,2011
Manhattan,2011-01,2778.78,2011
New York City,2011-01,2650.0,2011
Queens,2011-01,1490.3,2011
Staten Island,2011-01,,2011
Bronx,2011-02,1437.5,2011
Brooklyn,2011-02,1904.4,2011
Manhattan,2011-02,2779.7,2011
New York City,2011-02,2650.0,2011
Queens,2011-02,1518.6,2011
Staten Island,2011-02,,2011
Bronx,2011-03,1437.5,2011
Brooklyn,2011-03,1968.78,2011
Manhattan,2011-03,2757.18,2011
New York City,2011-03,2695.0,2011
Queens,2011-03,1597.5,2011
Staten Island,2011-03,,2011
Bronx,2011-04,1425.0,2011
Brooklyn,2011-04,1914.08,2011
Manhattan,2011-04,2843.76,2011
New York City,2011-04,2700.0,2011
Queens,2011-04,1666.0,2011
Staten Island,2011-04,,2011
Bronx,2011-05,1400.0,2011
Brooklyn,2011-05,1979.79,2011
Manhattan,2011-05,2829.68,2011
New York City,2011-05,2700.0,2011
Queens,2011-05,1645.55,2011
Staten Island,2011-05,,2011
Bronx,2011-06,1300.0,2011
Brooklyn,2011-06,2019.22,2011
Manhattan,2011-06,2858.65,2011
New York City,2011-06,2800.0,2011
Queens,2011-06,1662.27,2011
Staten Island,2011-06,,2011
Bronx,2011-07,1400.0,2011
Brooklyn,2011-07,2069.5,2011
Manhattan,2011-07,2890.06,2011
New York City,2011-07,2800.0,2011
Queens,2011-07,1607.55,2011
Staten Island,2011-07,,2011
Bronx,2011-08,1350.0,2011
Brooklyn,2011-08,2050.33,2011
Manhattan,2011-08,2911.09,2011
New York City,2011-08,2850.0,2011
Queens,2011-08,1666.45,2011
Staten Island,2011-08,,2011
Bronx,2011-09,1254.33,2011
Brooklyn,2011-09,2142.76,2011
Manhattan,2011-09,3042.23,2011
New York City,2011-09,2895.0,2011
Queens,2011-09,1718.3,2011
Staten Island,2011-09,,2011
Bronx,2011-10,1241.67,2011
Brooklyn,2011-10,2104.14,2011
Manhattan,2011-10,2925.48,2011
New York City,2011-10,2900.0,2011
Queens,2011-10,1678.3,2011
Staten Island,2011-10,,2011
Bronx,2011-11,1350.0,2011
Brooklyn,2011-11,1974.7,2011
Manhattan,2011-11,2940.67,2011
New York City,2011-11,2900.0,2011
Queens,2011-11,1751.0,2011
Staten Island,2011-11,,2011
Bronx,2011-12,1325.0,2011
Brooklyn,2011-12,2038.04,2011
Manhattan,2011-12,2992.69,2011
New York City,2011-12,2875.0,2011
Queens,2011-12,1698.3,2011
Staten Island,2011-12,,2011
Bronx,2012-01,1325.0,2012
Brooklyn,2012-01,2131.91,2012
Manhattan,2012-01,2991.69,2012
New York City,2012-01,2850.0,2012
Queens,2012-01,1639.36,2012
Staten Island,2012-01,,2012
Bronx,2012-02,1436.25,2012
Brooklyn,2012-02,2068.96,2012
Manhattan,2012-02,2961.06,2012
New York City,2012-02,2850.0,2012
Queens,2012-02,1896.64,2012
Staten Island,2012-02,,2012
Bronx,2012-03,1481.67,2012
Brooklyn,2012-03,2080.73,2012
Manhattan,2012-03,2991.0,2012
New York City,2012-03,2900.0,2012
Queens,2012-03,1926.91,2012
Staten Island,2012-03,,2012
Bronx,2012-04,1424.5,2012
Brooklyn,2012-04,2120.74,2012
Manhattan,2012-04,3009.06,2012
New York City,2012-04,2900.0,2012
Queens,2012-04,1917.27,2012
Staten Island,2012-04,,2012
Bronx,2012-05,1283.33,2012
Brooklyn,2012-05,2162.6,2012
Manhattan,2012-05,3014.24,2012
New York City,2012-05,2900.0,2012
Queens,2012-05,1880.0,2012
Staten Island,2012-05,,2012
Bronx,2012-06,1283.33,2012
Brooklyn,2012-06,2088.14,2012
Manhattan,2012-06,2965.38,2012
New York City,2012-06,2875.0,2012
Queens,2012-06,1925.0,2012
Staten Island,2012-06,,2012
Bronx,2012-07,1387.0,2012
Brooklyn,2012-07,2065.29,2012
Manhattan,2012-07,2959.49,2012
New York City,2012-07,2850.0,2012
Queens,2012-07,1812.31,2012
Staten Island,2012-07,1350.0,2012
Bronx,2012-08,1237.5,2012
Brooklyn,2012-08,2040.1,2012
Manhattan,2012-08,2951.89,2012
New York City,2012-08,2850.0,2012
Queens,2012-08,1861.09,2012
Staten Island,2012-08,1350.0,2012
Bronx,2012-09,1266.67,2012
Brooklyn,2012-09,2084.43,2012
Manhattan,2012-09,2989.38,2012
New York City,2012-09,2900.0,2012
Queens,2012-09,1853.8,2012
Staten Island,2012-09,1350.0,2012
Bronx,2012-10,1318.25,2012
Brooklyn,2012-10,2062.55,2012
Manhattan,2012-10,2999.82,2012
New York City,2012-10,2895.0,2012
Queens,2012-10,1868.73,2012
Staten Island,2012-10,,2012
Bronx,2012-11,1371.0,2012
Brooklyn,2012-11,2098.39,2012
Manhattan,2012-11,2994.06,2012
New York City,2012-11,2885.0,2012
Queens,2012-11,1806.82,2012
Staten Island,2012-11,,2012
Bronx,2012-12,1420.0,2012
Brooklyn,2012-12,2286.54,2012
Manhattan,2012-12,2974.0,2012
New York City,2012-12,2900.0,2012
Queens,2012-12,1791.64,2012
Staten Island,2012-12,,2012
Bronx,2013-01,1400.0,2013
Brooklyn,2013-01,2032.68,2013
Manhattan,2013-01,2972.53,2013
New York City,2013-01,2850.0,2013
Queens,2013-01,1711.17,2013
Staten Island,2013-01,,2013
Bronx,2013-02,1437.5,2013
Brooklyn,2013-02,2092.16,2013
Manhattan,2013-02,2994.67,2013
New York City,2013-02,2900.0,2013
Queens,2013-02,1728.75,2013
Staten Island,2013-02,,2013
Bronx,2013-03,1350.0,2013
Brooklyn,2013-03,2157.73,2013
Manhattan,2013-03,3006.15,2013
New York City,2013-03,2950.0,2013
Queens,2013-03,1667.92,2013
Staten Island,2013-03,,2013
Bronx,2013-04,1351.67,2013
Brooklyn,2013-04,2141.79,2013
Manhattan,2013-04,2999.35,2013
New York City,2013-04,2900.0,2013
Queens,2013-04,1706.23,2013
Staten Island,2013-04,,2013
Bronx,2013-05,1306.25,2013
Brooklyn,2013-05,2080.88,2013
Manhattan,2013-05,3016.51,2013
New York City,2013-05,2895.0,2013
Queens,2013-05,1742.77,2013
Staten Island,2013-05,,2013
Bronx,2013-06,1293.5,2013
Brooklyn,2013-06,2122.72,2013
Manhattan,2013-06,2978.58,2013
New York City,2013-06,2850.0,2013
Queens,2013-06,1703.47,2013
Staten Island,2013-06,1138.0,2013
Bronx,2013-07,1412.5,2013
Brooklyn,2013-07,2135.81,2013
Manhattan,2013-07,2978.49,2013
New York City,2013-07,2850.0,2013
Queens,2013-07,1745.87,2013
Staten Island,2013-07,,2013
Bronx,2013-08,1406.5,2013
Brooklyn,2013-08,2108.49,2013
Manhattan,2013-08,3053.06,2013
New York City,2013-08,2924.0,2013
Queens,2013-08,1796.93,2013
Staten Island,2013-08,,2013
Bronx,2013-09,1437.5,2013
Brooklyn,2013-09,2095.62,2013
Manhattan,2013-09,3056.85,2013
New York City,2013-09,2900.0,2013
Queens,2013-09,1856.64,2013
Staten Island,2013-09,,2013
Bronx,2013-10,1311.75,2013
Brooklyn,2013-10,2095.68,2013
Manhattan,2013-10,3025.11,2013
New York City,2013-10,2875.0,2013
Queens,2013-10,1756.73,2013
Staten Island,2013-10,1175.0,2013
Bronx,2013-11,1333.33,2013
Brooklyn,2013-11,2056.49,2013
Manhattan,2013-11,3018.69,2013
New York City,2013-11,2850.0,2013
Queens,2013-11,1741.8,2013
Staten Island,2013-11,1150.0,2013
Bronx,2013-12,1362.5,2013
Brooklyn,2013-12,2056.11,2013
Manhattan,2013-12,3045.57,2013
New York City,2013-12,2865.0,2013
Queens,2013-12,1680.19,2013
Staten Island,2013-12,1150.0,2013
Bronx,2014-01,1343.75,2014
Brooklyn,2014-01,1998.65,2014
Manhattan,2014-01,3072.94,2014
New York City,2014-01,2850.0,2014
Queens,2014-01,1689.94,2014
Staten Island,2014-01,1150.0,2014
Bronx,2014-02,1309.2,2014
Brooklyn,2014-02,2031.79,2014
Manhattan,2014-02,3074.11,2014
New York City,2014-02,2850.0,2014
Queens,2014-02,1743.47,2014
Staten Island,2014-02,1160.0,2014
Bronx,2014-03,1400.5,2014
Brooklyn,2014-03,2050.1,2014
Manhattan,2014-03,3052.94,2014
New York City,2014-03,2850.0,2014
Queens,2014-03,1750.0,2014
Staten Island,2014-03,,2014
Bronx,2014-04,1349.5,2014
Brooklyn,2014-04,2089.95,2014
Manhattan,2014-04,3093.14,2014
New York City,2014-04,2900.0,2014
Queens,2014-04,1743.53,2014
Staten Island,2014-04,,2014
Bronx,2014-05,1387.4,2014
Brooklyn,2014-05,2153.36,2014
Manhattan,2014-05,3127.89,2014
New York City,2014-05,2900.0,2014
Queens,2014-05,1745.59,2014
Staten Island,2014-05,1250.0,2014
Bronx,2014-06,1586.5,2014
Brooklyn,2014-06,2170.81,2014
Manhattan,2014-06,3102.51,2014
New York City,2014-06,2850.0,2014
Queens,2014-06,1768.0,2014
Staten Island,2014-06,1150.0,2014
Bronx,2014-07,1366.67,2014
Brooklyn,2014-07,2101.98,2014
Manhattan,2014-07,3055.75,2014
New York City,2014-07,2750.0,2014
Queens,2014-07,1754.61,2014
Staten Island,2014-07,1175.0,2014
Bronx,2014-08,1335.33,2014
Brooklyn,2014-08,2126.13,2014
Manhattan,2014-08,3072.28,2014
New York City,2014-08,2750.0,2014
Queens,2014-08,1792.29,2014
Staten Island,2014-08,,2014
Bronx,2014-09,1361.78,2014
Brooklyn,2014-09,2088.72,2014
Manhattan,2014-09,3077.97,2014
New York City,2014-09,2700.0,2014
Queens,2014-09,1768.41,2014
Staten Island,2014-09,1200.0,2014
Bronx,2014-10,1352.0,2014
Brooklyn,2014-10,2063.48,2014
Manhattan,2014-10,3062.08,2014
New York City,2014-10,2690.0,2014
Queens,2014-10,1779.06,2014
Staten Island,2014-10,1200.0,2014
Bronx,2014-11,1361.1,2014
Brooklyn,2014-11,2067.97,2014
Manhattan,2014-11,3081.75,2014
New York City,2014-11,2650.0,2014
Queens,2014-11,1740.16,2014
Staten Island,2014-11,1200.0,2014
Bronx,2014-12,1348.92,2014
Brooklyn,2014-12,2037.72,2014
Manhattan,2014-12,3128.69,2014
New York City,2014-12,2700.0,2014
Queens,2014-12,1723.74,2014
Staten Island,2014-12,,2014
Bronx,2015-01,1380.67,2015
Brooklyn,2015-01,2018.83,2015
Manhattan,2015-01,3097.08,2015
New York City,2015-01,2750.0,2015
Queens,2015-01,1780.5,2015
Staten Island,2015-01,1200.0,2015
Bronx,2015-02,1396.0,2015
Brooklyn,2015-02,2069.62,2015
Manhattan,2015-02,3116.0,2015
New York City,2015-02,2750.0,2015
Queens,2015-02,1769.55,2015
Staten Island,2015-02,1200.0,2015
Bronx,2015-03,1404.25,2015
Brooklyn,2015-03,2068.17,2015
Manhattan,2015-03,3135.5,2015
New York City,2015-03,2750.0,2015
Queens,2015-03,1737.67,2015
Staten Island,2015-03,1250.0,2015
Bronx,2015-04,1424.73,2015
Brooklyn,2015-04,2086.5,2015
Manhattan,2015-04,3170.03,2015
New York City,2015-04,2783.0,2015
Queens,2015-04,1731.87,2015
Staten Island,2015-04,1295.0,2015
Bronx,2015-05,1372.75,2015
Brooklyn,2015-05,2080.4,2015
Manhattan,2015-05,3185.56,2015
New York City,2015-05,2750.0,2015
Queens,2015-05,1761.73,2015
Staten Island,2015-05,1250.0,2015
Bronx,2015-06,1374.15,2015
Brooklyn,2015-06,2094.26,2015
Manhattan,2015-06,3222.34,2015
New York City,2015-06,2795.0,2015
Queens,2015-06,1748.0,2015
Staten Island,2015-06,1370.0,2015
Bronx,2015-07,1336.8,2015
Brooklyn,2015-07,2107.9,2015
Manhattan,2015-07,3201.89,2015
New York City,2015-07,2795.0,2015
Queens,2015-07,1768.27,2015
Staten Island,2015-07,1500.0,2015
Bronx,2015-08,1354.08,2015
Brooklyn,2015-08,2119.45,2015
Manhattan,2015-08,3250.28,2015
New York City,2015-08,2800.0,2015
Queens,2015-08,1790.43,2015
Staten Island,2015-08,1935.0,2015
Bronx,2015-09,1373.33,2015
Brooklyn,2015-09,2135.21,2015
Manhattan,2015-09,3235.67,2015
New York City,2015-09,2795.0,2015
Queens,2015-09,1796.75,2015
Staten Island,2015-09,1685.0,2015
Bronx,2015-10,1357.75,2015
Brooklyn,2015-10,2105.3,2015
Manhattan,2015-10,3214.53,2015
New York City,2015-10,2750.0,2015
Queens,2015-10,1743.0,2015
Staten Island,2015-10,1395.0,2015
Bronx,2015-11,1392.78,2015
Brooklyn,2015-11,2116.0,2015
Manhattan,2015-11,3156.03,2015
New York City,2015-11,2700.0,2015
Queens,2015-11,1721.81,2015
Staten Island,2015-11,1405.0,2015
Bronx,2015-12,1399.0,2015
Brooklyn,2015-12,2126.85,2015
Manhattan,2015-12,3173.11,2015
New York City,2015-12,2750.0,2015
Queens,2015-12,1784.48,2015
Staten Island,2015-12,1395.0,2015
Bronx,2016-01,1435.0,2016
Brooklyn,2016-01,2127.68,2016
Manhattan,2016-01,3160.08,2016
New York City,2016-01,2800.0,2016
Queens,2016-01,1778.85,2016
Staten Island,2016-01,,2016
Bronx,2016-02,1437.56,2016
Brooklyn,2016-02,2125.02,2016
Manhattan,2016-02,3201.33,2016
New York City,2016-02,2800.0,2016
Queens,2016-02,1831.33,2016
Staten Island,2016-02,1500.0,2016
Bronx,2016-03,1411.75,2016
Brooklyn,2016-03,2124.62,2016
Manhattan,2016-03,3247.89,2016
New York City,2016-03,2805.0,2016
Queens,2016-03,1792.43,2016
Staten Island,2016-03,1695.0,2016
Bronx,2016-04,1431.92,2016
Brooklyn,2016-04,2136.12,2016
Manhattan,2016-04,3254.64,2016
New York City,2016-04,2825.0,2016
Queens,2016-04,1859.32,2016
Staten Island,2016-04,2140.0,2016
Bronx,2016-05,1440.25,2016
Brooklyn,2016-05,2145.93,2016
Manhattan,2016-05,3235.06,2016
New York City,2016-05,2850.0,2016
Queens,2016-05,1870.1,2016
Staten Island,2016-05,2300.0,2016
Bronx,2016-06,1492.73,2016
Brooklyn,2016-06,2175.69,2016
Manhattan,2016-06,3234.44,2016
New York City,2016-06,2850.0,2016
Queens,2016-06,1856.67,2016
Staten Island,2016-06,2140.0,2016
Bronx,2016-07,1492.5,2016
Brooklyn,2016-07,2175.15,2016
Manhattan,2016-07,3242.22,2016
New York City,2016-07,2800.0,2016
Queens,2016-07,1865.05,2016
Staten Island,2016-07,2140.0,2016
Bronx,2016-08,1503.92,2016
Brooklyn,2016-08,2189.3,2016
Manhattan,2016-08,3195.22,2016
New York City,2016-08,2792.0,2016
Queens,2016-08,1865.32,2016
Staten Island,2016-08,1500.0,2016
Bronx,2016-09,1474.08,2016
Brooklyn,2016-09,2209.21,2016
Manhattan,2016-09,3207.36,2016
New York City,2016-09,2750.0,2016
